name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
Beta Ursae Minoris b,127,6.1 Jupiters,2.08,2014
CoRoT-18 b,2838,3.47 Jupiters,15,2011
CoRoT-19 b,2512,1.11 Jupiters,14.007,2011
CoRoT-1 b,2627,1.03 Jupiters,13.6,2008
CoRoT-20 b,2819,4.3 Jupiters,14.66,2011
CoRoT-20 c,2819,17 Jupiters,14.66,2018
CoRoT-21 b,4563,2.26 Jupiters,16,2012
CoRoT-22 b,1931,12.2 Earths,13.944,2014
CoRoT-23 b,1957,2.8 Jupiters,15.63,2011
CoRoT-24 b,1957,5.7 Earths,15.18,2014
CoRoT-24 c,1957,28 Earths,15.18,2014
CoRoT-18 b,2838,3.47 Jupiters,15,2011
CoRoT-19 b,2512,1.11 Jupiters,14.007,2011
CoRoT-1 b,2627,1.03 Jupiters,13.6,2008
CoRoT-20 b,2819,4.3 Jupiters,14.66,2011
CoRoT-20 c,2819,17 Jupiters,14.66,2018
CoRoT-21 b,4563,2.26 Jupiters,16,2012
CoRoT-22 b,1931,12.2 Earths,13.944,2014
CoRoT-23 b,1957,2.8 Jupiters,15.63,2011
CoRoT-24 b,1957,5.7 Earths,15.18,2014
CoRoT-24 c,1957,28 Earths,15.18,2014
CoRoT-18 b,2838,3.47 Jupiters,15,2011
CoRoT-19 b,2512,1.11 Jupiters,14.007,2011
CoRoT-1 b,2627,1.03 Jupiters,13.6,2008
CoRoT-20 b,2819,4.3 Jupiters,14.66,2011
CoRoT-20 c,2819,17 Jupiters,14.66,2018
CoRoT-21 b,4563,2.26 Jupiters,16,2012
CoRoT-22 b,1931,12.2 Earths,13.944,2014
CoRoT-23 b,1957,2.8 Jupiters,15.63,2011
CoRoT-24 b,1957,5.7 Earths,15.18,2014
CoRoT-24 c,1957,28 Earths,15.18,2014
CoRoT-25 b,3262,0.27 Jupiters,14.711,2013
CoRoT-26 b,5448,0.52 Jupiters,15.468,2013
CoRoT-27 b,3377,10.39 Jupiters,15.54,2014
CoRoT-28 b,1827,0.484 Jupiters,13.412,2015
CoRoT-29 b,2495,0.85 Jupiters,15.239,2015
CoRoT-2 b,652,3.47 Jupiters,12.57,2008
CoRoT-30 b,3132,2.9 Jupiters,15.65,2020
CoRoT-31 b,7144,0.84 Jupiters,15.465,2020
CoRoT-3 b,2218,21.66 Jupiters,13.292,2008
CoRoT-4 b,2419,0.72 Jupiters,13.561,2008
CoRoT-25 b,3262,0.27 Jupiters,14.711,2013
CoRoT-26 b,5448,0.52 Jupiters,15.468,2013
CoRoT-27 b,3377,10.39 Jupiters,15.54,2014
CoRoT-28 b,1827,0.484 Jupiters,13.412,2015
CoRoT-29 b,2495,0.85 Jupiters,15.239,2015
CoRoT-2 b,652,3.47 Jupiters,12.57,2008
CoRoT-30 b,3132,2.9 Jupiters,15.65,2020
CoRoT-31 b,7144,0.84 Jupiters,15.465,2020
CoRoT-3 b,2218,21.66 Jupiters,13.292,2008
CoRoT-4 b,2419,0.72 Jupiters,13.561,2008
CoRoT-25 b,3262,0.27 Jupiters,14.711,2013
CoRoT-26 b,5448,0.52 Jupiters,15.468,2013
CoRoT-27 b,3377,10.39 Jupiters,15.54,2014
CoRoT-28 b,1827,0.484 Jupiters,13.412,2015
CoRoT-29 b,2495,0.85 Jupiters,15.239,2015
CoRoT-2 b,652,3.47 Jupiters,12.57,2008
CoRoT-30 b,3132,2.9 Jupiters,15.65,2020
CoRoT-31 b,7144,0.84 Jupiters,15.465,2020
CoRoT-3 b,2218,21.66 Jupiters,13.292,2008
CoRoT-4 b,2419,0.72 Jupiters,13.561,2008
CoRoT-25 b,3262,0.27 Jupiters,14.711,2013
CoRoT-26 b,5448,0.52 Jupiters,15.468,2013
CoRoT-27 b,3377,10.39 Jupiters,15.54,2014
CoRoT-28 b,1827,0.484 Jupiters,13.412,2015
CoRoT-29 b,2495,0.85 Jupiters,15.239,2015
CoRoT-2 b,652,3.47 Jupiters,12.57,2008
CoRoT-30 b,3132,2.9 Jupiters,15.65,2020
CoRoT-31 b,7144,0.84 Jupiters,15.465,2020
CoRoT-3 b,2218,21.66 Jupiters,13.292,2008
CoRoT-4 b,2419,0.72 Jupiters,13.561,2008
DH Tauri b,457,11 Jupiters,12.496,2004
DMPP-1 b,202,24.27 Earths,7.981,2019
DMPP-1 c,202,9.6 Earths,7.981,2019
DMPP-1 d,202,3.35 Earths,7.981,2019
DMPP-1 e,202,4.13 Earths,7.981,2019
DMPP-2 b,437,0.437 Jupiters,8.567,2019
DMPP-3 A b,160,2.58 Earths,9.066,2019
DP Leonis b,995,6.28 Jupiters,18.633,2009
DS Tucanae A b,144,1.3 Jupiters,8.469,2019
EPIC 201238110 b,522,4.16 Earths,15.261,2019
DH Tauri b,457,11 Jupiters,12.496,2004
DMPP-1 b,202,24.27 Earths,7.981,2019
DMPP-1 c,202,9.6 Earths,7.981,2019
DMPP-1 d,202,3.35 Earths,7.981,2019
DMPP-1 e,202,4.13 Earths,7.981,2019
DMPP-2 b,437,0.437 Jupiters,8.567,2019
DMPP-3 A b,160,2.58 Earths,9.066,2019
DP Leonis b,995,6.28 Jupiters,18.633,2009
DS Tucanae A b,144,1.3 Jupiters,8.469,2019
EPIC 201238110 b,522,4.16 Earths,15.261,2019
EPIC 206317286 b,1035,0.84 Earths,14.051,2019
EPIC 211822797 b,611,4.58 Earths,15.256,2016
EPIC 211945201 b,596,27 Earths,10.154,2018
EPIC 212297394 b,1381,2.31 Earths,14.423,2019
EPIC 212424622 b,2031,5.35 Earths,13.354,2019
EPIC 212499991 b,932,3.19 Earths,13.552,2019
EPIC 212587672 b,1053,1.46 Earths,12.487,2019
EPIC 212737443 b,1133,7.2 Earths,14.836,2019
EPIC 212737443 c,1133,7.7 Earths,14.836,2019
EPIC 220554210 c,1638,2.79 Earths,14.042,2019
EPIC 206317286 b,1035,0.84 Earths,14.051,2019
EPIC 211822797 b,611,4.58 Earths,15.256,2016
EPIC 211945201 b,596,27 Earths,10.154,2018
EPIC 212297394 b,1381,2.31 Earths,14.423,2019
EPIC 212424622 b,2031,5.35 Earths,13.354,2019
EPIC 212499991 b,932,3.19 Earths,13.552,2019
EPIC 212587672 b,1053,1.46 Earths,12.487,2019
EPIC 212737443 b,1133,7.2 Earths,14.836,2019
EPIC 212737443 c,1133,7.7 Earths,14.836,2019
EPIC 220554210 c,1638,2.79 Earths,14.042,2019
EPIC 206317286 b,1035,0.84 Earths,14.051,2019
EPIC 211822797 b,611,4.58 Earths,15.256,2016
EPIC 211945201 b,596,27 Earths,10.154,2018
EPIC 212297394 b,1381,2.31 Earths,14.423,2019
EPIC 212424622 b,2031,5.35 Earths,13.354,2019
EPIC 212499991 b,932,3.19 Earths,13.552,2019
EPIC 212587672 b,1053,1.46 Earths,12.487,2019
EPIC 212737443 b,1133,7.2 Earths,14.836,2019
EPIC 212737443 c,1133,7.7 Earths,14.836,2019
EPIC 220554210 c,1638,2.79 Earths,14.042,2019
EPIC 206317286 b,1035,0.84 Earths,14.051,2019
EPIC 211822797 b,611,4.58 Earths,15.256,2016
EPIC 211945201 b,596,27 Earths,10.154,2018
EPIC 212297394 b,1381,2.31 Earths,14.423,2019
EPIC 212424622 b,2031,5.35 Earths,13.354,2019
EPIC 212499991 b,932,3.19 Earths,13.552,2019
EPIC 212587672 b,1053,1.46 Earths,12.487,2019
EPIC 212737443 b,1133,7.2 Earths,14.836,2019
EPIC 212737443 c,1133,7.7 Earths,14.836,2019
EPIC 220554210 c,1638,2.79 Earths,14.042,2019
EPIC 206317286 b,1035,0.84 Earths,14.051,2019
EPIC 211822797 b,611,4.58 Earths,15.256,2016
EPIC 211945201 b,596,27 Earths,10.154,2018
EPIC 212297394 b,1381,2.31 Earths,14.423,2019
EPIC 212424622 b,2031,5.35 Earths,13.354,2019
EPIC 212499991 b,932,3.19 Earths,13.552,2019
EPIC 212587672 b,1053,1.46 Earths,12.487,2019
EPIC 212737443 b,1133,7.2 Earths,14.836,2019
EPIC 212737443 c,1133,7.7 Earths,14.836,2019
EPIC 220554210 c,1638,2.79 Earths,14.042,2019
EPIC 206317286 b,1035,0.84 Earths,14.051,2019
EPIC 211822797 b,611,4.58 Earths,15.256,2016
EPIC 211945201 b,596,27 Earths,10.154,2018
EPIC 212297394 b,1381,2.31 Earths,14.423,2019
EPIC 212424622 b,2031,5.35 Earths,13.354,2019
EPIC 212499991 b,932,3.19 Earths,13.552,2019
EPIC 212587672 b,1053,1.46 Earths,12.487,2019
EPIC 212737443 b,1133,7.2 Earths,14.836,2019
EPIC 212737443 c,1133,7.7 Earths,14.836,2019
EPIC 220554210 c,1638,2.79 Earths,14.042,2019
EPIC 220674823 b,803,7.72 Earths,12.102,2016
EPIC 220674823 c,803,5.8 Earths,12.102,2016
EPIC 246851721 b,1098,3 Jupiters,11.439,2018
EPIC 248847494 b,1827,13 Jupiters,12.416,2018
EPIC 249893012 b,1058,8.75 Earths,11.428,2020
EPIC 249893012 c,1058,14.67 Earths,11.428,2020
EPIC 249893012 d,1058,10.18 Earths,11.428,2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012
Epsilon Eridani b,11,0.78 Jupiters,3.82,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
EPIC 220674823 b,803,7.72 Earths,12.102,2016
EPIC 220674823 c,803,5.8 Earths,12.102,2016
EPIC 246851721 b,1098,3 Jupiters,11.439,2018
EPIC 248847494 b,1827,13 Jupiters,12.416,2018
EPIC 249893012 b,1058,8.75 Earths,11.428,2020
EPIC 249893012 c,1058,14.67 Earths,11.428,2020
EPIC 249893012 d,1058,10.18 Earths,11.428,2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012
Epsilon Eridani b,11,0.78 Jupiters,3.82,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
EPIC 220674823 b,803,7.72 Earths,12.102,2016
EPIC 220674823 c,803,5.8 Earths,12.102,2016
EPIC 246851721 b,1098,3 Jupiters,11.439,2018
EPIC 248847494 b,1827,13 Jupiters,12.416,2018
EPIC 249893012 b,1058,8.75 Earths,11.428,2020
EPIC 249893012 c,1058,14.67 Earths,11.428,2020
EPIC 249893012 d,1058,10.18 Earths,11.428,2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012
Epsilon Eridani b,11,0.78 Jupiters,3.82,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
EPIC 220674823 b,803,7.72 Earths,12.102,2016
EPIC 220674823 c,803,5.8 Earths,12.102,2016
EPIC 246851721 b,1098,3 Jupiters,11.439,2018
EPIC 248847494 b,1827,13 Jupiters,12.416,2018
EPIC 249893012 b,1058,8.75 Earths,11.428,2020
EPIC 249893012 c,1058,14.67 Earths,11.428,2020
EPIC 249893012 d,1058,10.18 Earths,11.428,2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012
Epsilon Eridani b,11,0.78 Jupiters,3.82,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
EPIC 220674823 b,803,7.72 Earths,12.102,2016
EPIC 220674823 c,803,5.8 Earths,12.102,2016
EPIC 246851721 b,1098,3 Jupiters,11.439,2018
EPIC 248847494 b,1827,13 Jupiters,12.416,2018
EPIC 249893012 b,1058,8.75 Earths,11.428,2020
EPIC 249893012 c,1058,14.67 Earths,11.428,2020
EPIC 249893012 d,1058,10.18 Earths,11.428,2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012
Epsilon Eridani b,11,0.78 Jupiters,3.82,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
GJ 1132 b,41,1.66 Earths,13.49,2015
GJ 1132 c,41,2.64 Earths,13.49,2018
GJ 1148 b,36,0.30425 Jupiters,11.92,2010
GJ 1148 c,36,0.21414 Jupiters,11.92,2017
GJ 1214 b,48,6.26125 Earths,15.1,2009
GJ 1252 b,66,2.09 Earths,12.193,2020
GJ 1265 b,33,7.4 Earths,13.57,2018
GJ 143 b,53,22.7 Earths,7.87,2019
GJ 15 A b,12,3.03 Earths,8.08,2014
GJ 15 A c,12,36 Earths,8.08,2018
GJ 1132 b,41,1.66 Earths,13.49,2015
GJ 1132 c,41,2.64 Earths,13.49,2018
GJ 1148 b,36,0.30425 Jupiters,11.92,2010
GJ 1148 c,36,0.21414 Jupiters,11.92,2017
GJ 1214 b,48,6.26125 Earths,15.1,2009
GJ 1252 b,66,2.09 Earths,12.193,2020
GJ 1265 b,33,7.4 Earths,13.57,2018
GJ 143 b,53,22.7 Earths,7.87,2019
GJ 15 A b,12,3.03 Earths,8.08,2014
GJ 15 A c,12,36 Earths,8.08,2018
GJ 160.2 b,84,10.2 Earths,9.68,2014
GJ 163 b,49,10.6 Earths,11.81,2013
GJ 163 c,49,6.8 Earths,11.81,2013
GJ 163 d,49,29.4 Earths,11.81,2013
GJ 179 b,40,0.82 Jupiters,12,2009
GJ 180 b,39,6.49 Earths,10.91,2014
GJ 180 c,39,6.4 Earths,10.91,2014
GJ 180 d,39,7.56 Earths,10.91,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.14,2020
GJ 229 b,19,8.478 Earths,8.14,2014
GJ 27.1 b,77,13 Earths,11.42,2014
GJ 273 b,12,2.89 Earths,9.872,2017
GJ 273 c,12,1.18 Earths,9.872,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 3082 b,54,8.2 Earths,11.077,2020
GJ 3138 b,93,1.78 Earths,10.98,2017
GJ 3138 c,93,4.18 Earths,10.98,2017
GJ 3138 d,93,10.5 Earths,10.98,2017
GJ 317 b,49,2.5 Jupiters,11.97,2007
GJ 317 c,49,1.64396 Jupiters,11.97,2018
GJ 328 b,67,2.3 Jupiters,9.97,2013
GJ 3293 b,66,23.54 Earths,11.962,2015
GJ 3293 c,66,21.09 Earths,11.962,2015
GJ 3293 d,66,7.6 Earths,11.962,2017
GJ 3293 e,66,3.28 Earths,11.962,2017
GJ 3323 b,17,2.02 Earths,12.22,2017
GJ 3323 c,17,2.31 Earths,12.22,2017
GJ 3341 b,76,6.6 Earths,12.08,2015
GJ 338 B b,21,10.27 Earths,7.7,2020
GJ 317 c,49,1.64396 Jupiters,11.97,2018
GJ 328 b,67,2.3 Jupiters,9.97,2013
GJ 3293 b,66,23.54 Earths,11.962,2015
GJ 3293 c,66,21.09 Earths,11.962,2015
GJ 3293 d,66,7.6 Earths,11.962,2017
GJ 3293 e,66,3.28 Earths,11.962,2017
GJ 3323 b,17,2.02 Earths,12.22,2017
GJ 3323 c,17,2.31 Earths,12.22,2017
GJ 3341 b,76,6.6 Earths,12.08,2015
GJ 338 B b,21,10.27 Earths,7.7,2020
GJ 317 c,49,1.64396 Jupiters,11.97,2018
GJ 328 b,67,2.3 Jupiters,9.97,2013
GJ 3293 b,66,23.54 Earths,11.962,2015
GJ 3293 c,66,21.09 Earths,11.962,2015
GJ 3293 d,66,7.6 Earths,11.962,2017
GJ 3293 e,66,3.28 Earths,11.962,2017
GJ 3323 b,17,2.02 Earths,12.22,2017
GJ 3323 c,17,2.31 Earths,12.22,2017
GJ 3341 b,76,6.6 Earths,12.08,2015
GJ 338 B b,21,10.27 Earths,7.7,2020
GJ 317 c,49,1.64396 Jupiters,11.97,2018
GJ 328 b,67,2.3 Jupiters,9.97,2013
GJ 3293 b,66,23.54 Earths,11.962,2015
GJ 3293 c,66,21.09 Earths,11.962,2015
GJ 3293 d,66,7.6 Earths,11.962,2017
